id,word_ko,word_en,word_jp,meaning_ko,meaning_en,meaning_jp,sentence_ko,sentence_en,sentence_jp,difficulty,category
122,로버타,RoBERTa,RoBERTa,강건한 BERT 모델,Robust BERT model,堅牢なBERTモデル,___는 BERT를 개선한 모델입니다.,___ is an improved version of BERT.,___はBERTを改善したモデルです。,5,ai_model
123,디스틸버트,DistilBERT,DistilBERT,압축된 BERT 모델,Compressed BERT model,圧縮されたBERTモデル,___는 BERT의 40% 크기입니다.,___ is 40% the size of BERT.,___はBERTの40%のサイズです。,5,ai_model
124,지피티2,GPT-2,GPT-2,오픈AI의 언어 모델,OpenAI's language model,OpenAIの言語モデル,___는 GPT 시리즈의 2세대입니다.,___ is the 2nd generation of GPT.,___はGPTシリーズの第2世代です。,4,ai_model
125,지피티3,GPT-3,GPT-3,대규모 언어 모델,Large language model,大規模言語モデル,___는 1750억 파라미터를 가집니다.,___ has 175 billion parameters.,___は1750億パラメータを持ちます。,4,ai_model
126,코덱스,Codex,Codex,코드 생성 AI 모델,Code generation AI model,コード生成AIモデル,___는 깃허브 코파일럿의 기반입니다.,___ is the foundation of GitHub Copilot.,___はGitHub Copilotの基盤です。,4,ai_model
127,위스퍼,Whisper,Whisper,음성 인식 AI,Speech recognition AI,音声認識AI,___는 오픈AI의 음성 모델입니다.,___ is OpenAI's speech model.,___はOpenAIの音声モデルです。,3,ai_model
128,클립,CLIP,CLIP,이미지-텍스트 모델,Image-text model,画像テキストモデル,___는 이미지를 이해하는 모델입니다.,___ is a model that understands images.,___は画像を理解するモデルです。,4,ai_model
129,얄로,YOLO,YOLO,실시간 객체 탐지,Real-time object detection,リアルタイム物体検出,___는 빠른 객체 인식 알고리즘입니다.,___ is a fast object detection algorithm.,___は高速物体認識アルゴリズムです。,3,ai_algorithm
130,알파고,AlphaGo,AlphaGo,바둑 AI,Go playing AI,囲碁AI,___는 이세돌을 이긴 AI입니다.,___ is the AI that beat Lee Sedol.,___は李世ドルに勝ったAIです。,2,ai_model
131,알파폴드,AlphaFold,AlphaFold,단백질 구조 예측 AI,Protein structure prediction AI,タンパク質構造予測AI,___는 단백질 접힘을 예측합니다.,___ predicts protein folding.,___はタンパク質の折りたたみを予測します。,5,ai_model
132,트랜스포머,Transformer,Transformer,어텐션 메커니즘 아키텍처,Attention mechanism architecture,アテンションメカニズムアーキテクチャ,___는 현대 AI의 핵심 구조입니다.,___ is the core structure of modern AI.,___は現代AIの核心構造です。,4,ai_architecture
133,갠,GAN,GAN,생성적 적대 신경망,Generative Adversarial Network,敵対的生成ネットワーク,___는 이미지를 생성하는 기술입니다.,___ is technology that generates images.,___は画像を生成する技術です。,4,ai_architecture
134,브이에이이,VAE,VAE,변분 오토인코더,Variational Autoencoder,変分オートエンコーダー,___는 잠재 공간을 학습합니다.,___ learns latent space.,___は潜在空間を学習します。,5,ai_architecture
135,알엔엔,RNN,RNN,순환 신경망,Recurrent Neural Network,再帰型ニューラルネットワーク,___는 시퀀스 데이터를 처리합니다.,___ processes sequence data.,___はシーケンスデータを処理します。,4,ai_architecture
136,엘에스티엠,LSTM,LSTM,장단기 메모리 네트워크,Long Short-Term Memory,長短期記憶ネットワーク,___는 RNN의 개선 버전입니다.,___ is an improved version of RNN.,___はRNNの改良版です。,5,ai_architecture
137,시엔엔,CNN,CNN,합성곱 신경망,Convolutional Neural Network,畳み込みニューラルネットワーク,___는 이미지 인식에 사용됩니다.,___ is used for image recognition.,___は画像認識に使用されます。,4,ai_architecture
138,레스넷,ResNet,ResNet,잔차 신경망,Residual Neural Network,残差ニューラルネットワーク,___는 깊은 네트워크를 학습합니다.,___ trains deep networks.,___は深いネットワークを学習します。,5,ai_architecture
139,유넷,U-Net,U-Net,이미지 분할 아키텍처,Image segmentation architecture,画像分割アーキテクチャ,___는 의료 이미지에 사용됩니다.,___ is used for medical images.,___は医療画像に使用されます。,5,ai_architecture
140,비전트랜스포머,Vision Transformer,Vision Transformer,이미지용 트랜스포머,Transformer for images,画像用Transformer,___는 이미지를 패치로 나눕니다.,___ divides images into patches.,___は画像をパッチに分割します。,5,ai_model
141,사지메이커,SageMaker,SageMaker,AWS의 ML 플랫폼,AWS ML platform,AWSのMLプラットフォーム,___는 아마존의 머신러닝 서비스입니다.,___ is Amazon's machine learning service.,___はAmazonの機械学習サービスです。,4,ai_platform
142,버텍스에이아이,Vertex AI,Vertex AI,구글의 ML 플랫폼,Google's ML platform,GoogleのMLプラットフォーム,___는 구글 클라우드의 AI 서비스입니다.,___ is Google Cloud's AI service.,___はGoogle CloudのAIサービスです。,4,ai_platform
143,에저머신러닝,Azure ML,Azure ML,마이크로소프트의 ML 플랫폼,Microsoft's ML platform,MicrosoftのMLプラットフォーム,___는 마이크로소프트의 AI 서비스입니다.,___ is Microsoft's AI service.,___はMicrosoftのAIサービスです。,4,ai_platform
144,랭체인,LangChain,LangChain,LLM 애플리케이션 프레임워크,LLM application framework,LLMアプリケーションフレームワーク,___는 LLM 앱 개발 도구입니다.,___ is an LLM app development tool.,___はLLMアプリ開発ツールです。,4,ai_framework
145,라마인덱스,LlamaIndex,LlamaIndex,데이터 프레임워크,Data framework,データフレームワーク,___는 LLM과 데이터를 연결합니다.,___ connects LLMs with data.,___はLLMとデータを接続します。,5,ai_framework
146,벡터디비,VectorDB,VectorDB,벡터 데이터베이스,Vector database,ベクターデータベース,___는 임베딩을 저장합니다.,___ stores embeddings.,___は埋め込みを保存します。,5,ai_database
147,파인콘,Pinecone,Pinecone,벡터 데이터베이스 서비스,Vector database service,ベクターデータベースサービス,___는 유사도 검색을 제공합니다.,___ provides similarity search.,___は類似度検索を提供します。,5,ai_database
148,크로마,Chroma,Chroma,오픈소스 벡터 DB,Open-source vector DB,オープンソースベクターDB,___는 임베딩 저장소입니다.,___ is an embedding store.,___は埋め込みストレージです。,5,ai_database
149,와비브,Weaviate,Weaviate,벡터 검색 엔진,Vector search engine,ベクター検索エンジン,___는 의미 검색을 지원합니다.,___ supports semantic search.,___はセマンティック検索をサポートします。,5,ai_database
150,프롬프트엔지니어링,Prompt Engineering,Prompt Engineering,프롬프트 설계 기법,Prompt design technique,プロンプト設計技法,___는 AI와 대화하는 기술입니다.,___ is the skill of conversing with AI.,___はAIと会話する技術です。,3,ai_concept
